--datatype bifiltration
--xlabel x values
--ylabel y values

#data
5 ; -3.0 -3.0
0 ; -2.0 -1.5
0 5 ; -2.0 1.5 2.0 -1.5
1 ; -1.7 -1.5
1 5 ; -1.7 1.5 1.7 -1.5
2 ; -1.3 -1.0
2 5 ; -1.3 1.0 1.3 -1.0
3 ; -1.3 -2.0
3 5 ; -1.3 2.0 1.3 -2.0
4 ; -1.0 -1.5
4 5 ; -1.0 1.5 1.0 -1.5
0 1 ; -1.7 -1.5
0 1 5 ; -1.7 1.5 2.0 -1.5
1 2 ; -1.3 -1.0
1 2 5 ; -1.3 1.5 1.7 -1.0
1 3 ; -1.3 -1.5
1 3 5 ; -1.3 2.0 1.7 -1.5
2 4 ; -1.0 -1.0
2 4 5 ; -1.0 1.5 1.3 -1.0
3 4 ; -1.0 -1.5
3 4 5 ; -1.0 2.0 1.3 -1.5
2 3 ; -1.3 -1.0
2 3 5 ; -1.3 2.0 1.3 -1.0
1 2 3 ; -1.3 -1.0
1 2 3 5 ; -1.3 2.0 1.7 -1.0
